Date, Time, Resistance, Reps, Machine, Seat Position, ROM1, ROM2, Chest Position, SoftWare Version, Machine Serial, L PWR, L Vel, L Force, L Pos, U PWR, U Vel, U Force, U Pos, Location, Peak PWR, Work, Distance, HN %, HN ROM
2/5/2019, 14:26:15,     53 Lb,3,2035,  ,  ,  ,  , 4D2C55A5, 0124 2013 0742 0534, , , , , , , , , ,167,130,,,
2/5/2019, 14:27:24,     53 Lb,6,2035,  ,  ,  ,1, 4D2C55A5, 0124 2013 0742 0534, , , , , , , , , ,219,292,,,
2/5/2019, 14:27:41,     53 Lb,5,2035,1,  ,  ,2, 4D2C55A5, 0124 2013 0742 0534, , , , , , , , , ,221,241,,,
2/5/2019, 14:37:20,     24 Lb,5,2121,3,  ,2,  , 4D2C55A5, 0425 2018 0733 1435, , , , , , , , , ,372,508,,,
2/5/2019, 14:38:26,     24 Lb,10,2121,3,  ,2,  , 4D2C55A5, 0425 2018 0733 1435, , , , , , , , , ,387,923,,,
2/5/2019, 14:38:51,     24 Lb,4,2121,6,  ,4,  , 4D2C55A5, 0425 2018 0733 1435, , , , , , , , , ,421,402,,,
2/5/2019, 14:42:19,    137 Lb,20,3232,  ,  ,  ,1, 4D2C55A5, 1127 2018 0954 3633, , , , , , , , , ,253,2700,15,,
2/5/2019, 14:43:41,    137 Lb,10,3232,  ,  ,  ,1, 4D2C55A5, 1127 2018 0954 3633, , , , , , , , , ,637,2994,15,,
2/5/2019, 14:52:10,     30 Lb,10,3120,0,0,0,0, 4D2C55A5, 0118 2013 0757 2033, , , , , , , , , ,270,320,,,
2/5/2019, 14:54:09,     41 Lb,3,1621,  ,  ,  ,  , 4D2C55A5, 0730 2015 1323 2541, , , , , , , , , ,154,91,,,
2/5/2019, 14:54:24,     41 Lb,4,1621,  ,  ,  ,  , 4D2C55A5, 0730 2015 1323 2541, , , , , , , , , ,176,121,,,
2/5/2019, 14:56:04,    9.5 Lb,4,3010,1,1,4,  , 4D2C55A5, 0121 2013 1632 1936, , , , , , , , , ,176,131,,,
2/5/2019, 14:56:21,    9.5 Lb,4,3010,1,3,5,  , 4D2C55A5, 0121 2013 1632 1936, , , , , , , , , ,186,125,,,
2/5/2019, 15:00:25,      4 Lb,7,3100,  ,1,2,3, 4D2C55A5, 0121 2013 0716 0443, , , , , , , , , ,158,172,,,
2/5/2019, 15:01:34,      4 Lb,4,3100,  ,2,3,4, 4D2C55A5, 0121 2013 0716 0443, , , , , , , , , ,124,84,,,
